dataset,stage,variant,experiment_name,run_name,summary_path,threshold_config,threshold_used,best_threshold_source_val_f1,source_val_roc_auc,source_val_pr_auc,source_val_f1,source_val_loss,source_val_tn,source_val_fp,source_val_fn,source_val_tp,target_test_roc_auc,target_test_pr_auc,target_test_f1,target_test_loss,target_test_tn,target_test_fp,target_test_fn,target_test_tp
mimii_due,source_only,fused,fan_section_00,run_000_smoke,experiments/mimii_due/fan_section_00/run_000_smoke/source_only_training/fused/summary.json,0.5,0.02740510366857052,0.02740510366857052,0.7710324999999999,0.7995313186232615,0.7120441988950276,1.3095549329926726,1086,914,389,1611,0.68733314,0.7563926504744839,0.6410536028856639,1.3160170253954828,1900,3100,1179,3821
mimii_due,source_only,fused,fan_section_00,run_001_supervised_pilot,experiments/mimii_due/fan_section_00/run_001_supervised_pilot/source_only_training/fused/summary.json,0.5,0.02334458939731121,0.02334458939731121,0.7338551779935274,0.7803269684887566,0.6840227798986169,1.1551631267269935,1846,4334,715,5465,0.6778857123406752,0.7436758124451442,0.6587119935866901,1.1272447568118802,4077,26823,2552,28348
mimii_due,source_only,raw_only,fan_section_00,run_001_supervised_pilot,experiments/mimii_due/fan_section_00/run_001_supervised_pilot/source_only_training/raw_only/summary.json,0.5,0.04456118494272232,0.04456118494272232,0.7621348226348698,0.795018324497096,0.7028544688816097,1.1898280177410077,2658,3522,923,5257,0.6837882290717525,0.7464336430326324,0.6417343032662887,1.2153146326286164,10173,20727,6508,24392
mimii_due,source_only,tfr_only,fan_section_00,run_001_supervised_pilot,experiments/mimii_due/fan_section_00/run_001_supervised_pilot/source_only_training/tfr_only/summary.json,0.5,0.01833030767738819,0.01833030767738819,0.6742158649364796,0.7174967620595438,0.6695410140260875,1.0780972343890605,171,6009,46,6134,0.6696567123302019,0.7101292279596543,0.6659591461613366,1.0722121116029502,835,30065,466,30434
paderborn,source_only,fused,N15_M07_F10__to__N09_M07_F10__binary_vibration,run_001,experiments/paderborn/N15_M07_F10__to__N09_M07_F10__binary_vibration/run_001/source_only_training/fused/summary.json,0.5,0.0033765274565666914,0.0033765274565666914,0.9775433283807473,0.9764568066653402,0.9256689791873142,1.6289314670259625,452,45,30,467,1.0,1.0,1.0,0.0003762762471871878,497,0,0,497
paderborn,source_only,fused,N15_M07_F10__to__N09_M07_F10__binary_vibration,run_002_full_8codesx20,experiments/paderborn/N15_M07_F10__to__N09_M07_F10__binary_vibration/run_002_full_8codesx20/source_only_training/fused/summary.json,0.5,0.8848375678062439,0.8848375678062439,0.9965046237090787,0.996488333996605,0.9727064448650264,0.31238132491517506,9655,328,220,9765,1.0,1.0,1.0,0.038440364544092345,9959,0,0,9941
paderborn,source_only,fused,N15_M07_F10__to__N09_M07_F10__binary_vibration,run_003_repr_sweep,experiments/paderborn/N15_M07_F10__to__N09_M07_F10__binary_vibration/run_003_repr_sweep/source_only_training/fused/summary.json,0.5,0.8848375678062439,0.8848375678062439,0.9965046237090787,0.996488333996605,0.9727064448650264,0.31238132491517506,9655,328,220,9765,1.0,1.0,1.0,0.038440364544092345,9959,0,0,9941
paderborn,source_only,raw_only,N15_M07_F10__to__N09_M07_F10__binary_vibration,run_003_repr_sweep,experiments/paderborn/N15_M07_F10__to__N09_M07_F10__binary_vibration/run_003_repr_sweep/source_only_training/raw_only/summary.json,0.5,0.25601476430892944,0.25601476430892944,0.9335635577978809,0.9258811423500695,0.8638626772250937,0.34541560109415187,7988,1995,876,9109,1.0,1.0,1.0,0.00010935697853660461,9959,0,0,9941
paderborn,source_only,tfr_only,N15_M07_F10__to__N09_M07_F10__binary_vibration,run_003_repr_sweep,experiments/paderborn/N15_M07_F10__to__N09_M07_F10__binary_vibration/run_003_repr_sweep/source_only_training/tfr_only/summary.json,0.5,0.935792863368988,0.935792863368988,0.9879388651242916,0.9878063614233331,0.9444140877253986,0.3876514684628161,9343,640,479,9506,1.0,1.0,0.9995475340606305,0.047790697538140255,9950,9,0,9941
paderborn,source_only,fused,,,experiments/paderborn/source_only_training/fused/summary.json,0.5,0.0033765274565666914,0.0033765274565666914,0.9775433283807473,0.9764568066653402,0.9256689791873142,1.6289314670259625,452,45,30,467,1.0,1.0,1.0,0.0003762762471871878,497,0,0,497
source_only_training,source_only,fused,,,experiments/source_only_training/fused/summary.json,0.5,0.38506463170051575,0.38506463170051575,1.0,1.0,1.0,0.5199020624160766,71,0,0,9,0.9184027777777777,0.6933348187759953,0.18181818181818182,0.5586141705513,0,72,0,8
source_only_training,source_only,raw_only,,,experiments/source_only_training/raw_only/summary.json,0.5,0.39883214235305786,0.39883214235305786,1.0,1.0,1.0,0.5426836490631104,71,0,0,9,0.8975694444444444,0.6686982401656315,0.18181818181818182,0.5669031262397766,0,72,0,8
source_only_training,source_only,tfr_only,,,experiments/source_only_training/tfr_only/summary.json,0.5,0.32671260833740234,0.32671260833740234,1.0,1.0,1.0,0.46445955634117125,71,0,0,9,0.8333333333333334,0.4770833333333333,0.18181818181818182,0.49904581904411316,0,72,0,8
synthetic,source_only,fused,synthetic_fused_justification,run_001,experiments/synthetic/synthetic_fused_justification/run_001/source_only_training/fused/summary.json,0.5,0.38506463170051575,0.38506463170051575,1.0,1.0,1.0,0.5199020624160766,71,0,0,9,0.9184027777777777,0.6933348187759953,0.18181818181818182,0.5586141705513,0,72,0,8
synthetic,source_only,raw_only,synthetic_fused_justification,run_001,experiments/synthetic/synthetic_fused_justification/run_001/source_only_training/raw_only/summary.json,0.5,0.39883214235305786,0.39883214235305786,1.0,1.0,1.0,0.5426836490631104,71,0,0,9,0.8975694444444444,0.6686982401656315,0.18181818181818182,0.5669031262397766,0,72,0,8
synthetic,source_only,tfr_only,synthetic_fused_justification,run_001,experiments/synthetic/synthetic_fused_justification/run_001/source_only_training/tfr_only/summary.json,0.5,0.32671260833740234,0.32671260833740234,1.0,1.0,1.0,0.46445955634117125,71,0,0,9,0.8333333333333334,0.4770833333333333,0.18181818181818182,0.49904581904411316,0,72,0,8
window_sweep,source_only,fused,,,experiments/window_sweep/ws_1024_st_256_any_overlap_mf_0p0/source_only_training/fused/summary.json,,,,1.0,0.9999999999999999,0.0,0.1461767349175589,162,0,10,0,1.0,0.9999999999999999,0.0,0.16764617096199547,162,0,10,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_256_any_overlap_mf_0p0/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.29437432705591887,138,0,18,0,1.0,1.0,0.0,0.334711091258587,138,0,18,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_512_any_overlap_mf_0p0/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.49687986969947817,71,0,9,0,1.0,1.0,0.0,0.49949186444282534,71,0,9,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p02/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.49687986969947817,71,0,9,0,1.0,1.0,0.0,0.49949186444282534,71,0,9,0
window_sweep,source_only,fused,,,experiments/window_sweep/ws_2048_st_512_min_fraction_mf_0p05/source_only_training/fused/summary.json,,,,1.0,1.0,0.0,0.5199020624160766,71,0,9,0,0.9930555555555556,0.931795634920635,0.0,0.5165779769420624,72,0,8,0
