epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.49247603019078573,0.5426820039749145,1.0,1.0,0.0
2,0.22359172701835633,0.2956728607416153,1.0,1.0,0.0
3,0.14448605105280876,0.22133762240409852,1.0,1.0,0.0
4,0.10732979861398538,0.21682134694419802,1.0,1.0,0.0
5,0.08713592315713564,0.18870064460206776,1.0,1.0,0.6153846153846154
6,0.07317258405188719,0.16343274355167522,1.0,1.0,0.6153846153846154
7,0.05343933515250683,0.12295733540086076,1.0,1.0,0.6153846153846154
8,0.04757559187710285,0.09190720620099455,1.0,1.0,0.8
9,0.041833475418388846,0.06779727854300291,1.0,1.0,0.875
10,0.034295935183763504,0.05294470614753664,1.0,1.0,0.875
11,0.03550536638746659,0.04541485188528895,1.0,1.0,0.875
12,0.024910218020280202,0.039816937409341335,1.0,1.0,0.875
13,0.021059695662309728,0.03584290419239551,1.0,1.0,0.875
14,0.02153049522700409,0.031543272314593196,1.0,1.0,0.875
15,0.019668097669879595,0.027213551104068756,1.0,1.0,0.875
16,0.020028198727717002,0.025306330854073168,1.0,1.0,0.875
17,0.01290840059518814,0.022532019298523664,1.0,1.0,0.875
18,0.011093696517248949,0.018241007695905864,1.0,1.0,1.0
19,0.009907845562944809,0.015639107837341727,1.0,1.0,1.0
20,0.007983124954625965,0.018235711089801043,1.0,1.0,1.0
