epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.7593052466710408,0.4645236134529114,1.0,1.0,0.0
2,0.3226980249087016,0.3071490000933409,1.0,1.0,0.0
3,0.16973188718159993,0.20308958925306797,1.0,1.0,0.0
4,0.1060750238597393,0.11751092039048672,1.0,1.0,0.6153846153846154
5,0.07451319793860117,0.09275433383882045,1.0,1.0,0.875
6,0.055687080572048825,0.06894667129963636,1.0,1.0,0.875
7,0.04639039834340413,0.05447278199717402,1.0,1.0,0.875
8,0.03524283928175767,0.03815314173698425,1.0,1.0,0.875
9,0.034236404299736026,0.03315191958099604,1.0,1.0,0.9411764705882353
10,0.025170701214422782,0.03346883580088615,1.0,1.0,1.0
11,0.03439973505834738,0.08803544789552689,1.0,1.0,1.0
12,0.021679087666173776,0.07611051350831985,1.0,1.0,1.0
13,0.01747813823943337,0.37735470533370974,1.0,1.0,0.9473684210526315
14,0.029977454400310913,0.03047669136285549,1.0,1.0,0.875
15,0.030952510175605616,0.014221989968791603,1.0,1.0,1.0
16,0.025083576794713736,0.018934114836156368,1.0,1.0,1.0
17,0.02308644459893306,0.056328491866588594,1.0,1.0,1.0
18,0.017180990086247523,0.1007487267255783,1.0,1.0,1.0
19,0.02341632281119625,0.19481634199619294,1.0,1.0,1.0
20,0.013060752985378106,0.09440786242485047,1.0,1.0,1.0
