epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.7592999994754791,0.4644652187824249,1.0,1.0,0.0
2,0.32269368370374046,0.3070877561345696,1.0,1.0,0.0
3,0.16974342266718548,0.20313840843737124,1.0,1.0,0.0
4,0.10606702466805776,0.11755624413490295,1.0,1.0,0.6153846153846154
5,0.07450728689630827,0.09275427870452405,1.0,1.0,0.875
6,0.05568258538842201,0.06911112209782004,1.0,1.0,0.875
7,0.046384433408578236,0.05461076609790325,1.0,1.0,0.875
8,0.03522727576394876,0.0381265202537179,1.0,1.0,0.875
9,0.034227570270498595,0.03327559679746628,1.0,1.0,0.9411764705882353
10,0.025165467957655587,0.0333329264074564,1.0,1.0,1.0
11,0.034392724434534706,0.08276689201593398,1.0,1.0,1.0
12,0.021638727746903896,0.07288033366203309,1.0,1.0,1.0
13,0.01748401001095772,0.3610575258731842,1.0,1.0,1.0
14,0.030133823708941538,0.031173534072877374,1.0,1.0,0.875
15,0.030992406109968822,0.014494766941061244,1.0,1.0,1.0
16,0.025121359309802454,0.018229316361248492,1.0,1.0,1.0
17,0.023127162549644708,0.05275464653968811,1.0,1.0,1.0
18,0.01724354738059143,0.0955425500869751,1.0,1.0,1.0
19,0.023496400580431023,0.18949148654937745,1.0,1.0,1.0
20,0.01317918673157692,0.09671830832958221,1.0,1.0,1.0
