label,score,path,domain,record_id,split,window_idx,start,end,record_label,overlap_samples,overlap_fraction,pred
0,0.4307289123535156,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00000.npy,target,tgt_test_anom_burst_0,test,0,0,2048,1,0,0.0,0
0,0.4302424788475036,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00001.npy,target,tgt_test_anom_burst_0,test,1,512,2560,1,0,0.0,0
0,0.4307405352592468,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00002.npy,target,tgt_test_anom_burst_0,test,2,1024,3072,1,0,0.0,0
0,0.42762291431427,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00003.npy,target,tgt_test_anom_burst_0,test,3,1536,3584,1,0,0.0,0
0,0.4299464225769043,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00004.npy,target,tgt_test_anom_burst_0,test,4,2048,4096,1,0,0.0,0
0,0.4319921433925628,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00005.npy,target,tgt_test_anom_burst_0,test,5,2560,4608,1,0,0.0,0
0,0.4334265887737274,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00006.npy,target,tgt_test_anom_burst_0,test,6,3072,5120,1,0,0.0,0
0,0.4330650269985199,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00007.npy,target,tgt_test_anom_burst_0,test,7,3584,5632,1,0,0.0,0
0,0.4310643970966339,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00008.npy,target,tgt_test_anom_burst_0,test,8,4096,6144,1,0,0.0,0
0,0.4268584847450256,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00009.npy,target,tgt_test_anom_burst_0,test,9,4608,6656,1,0,0.0,0
0,0.4159003496170044,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00010.npy,target,tgt_test_anom_burst_0,test,10,5120,7168,1,0,0.0,0
0,0.4115029275417328,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00011.npy,target,tgt_test_anom_burst_0,test,11,5632,7680,1,0,0.0,0
0,0.4115811586380005,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00012.npy,target,tgt_test_anom_burst_0,test,12,6144,8192,1,0,0.0,0
1,0.430894136428833,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00013.npy,target,tgt_test_anom_burst_0,test,13,6656,8704,1,360,0.17578125,0
1,0.4323137402534485,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00014.npy,target,tgt_test_anom_burst_0,test,14,7168,9216,1,360,0.17578125,0
1,0.4349569678306579,data/processed/windows/target/test/tgt_test_anom_burst_0_win_00015.npy,target,tgt_test_anom_burst_0,test,15,7680,9728,1,360,0.17578125,0
