path,label,domain,record_id,split
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0000.npy,1,source,fan__source_test__section_00_source_test_anomaly_0000,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0001.npy,1,source,fan__source_test__section_00_source_test_anomaly_0001,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0002.npy,1,source,fan__source_test__section_00_source_test_anomaly_0002,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0003.npy,1,source,fan__source_test__section_00_source_test_anomaly_0003,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0005.npy,1,source,fan__source_test__section_00_source_test_anomaly_0005,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0008.npy,1,source,fan__source_test__section_00_source_test_anomaly_0008,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0009.npy,1,source,fan__source_test__section_00_source_test_anomaly_0009,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0010.npy,1,source,fan__source_test__section_00_source_test_anomaly_0010,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0012.npy,1,source,fan__source_test__section_00_source_test_anomaly_0012,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0013.npy,1,source,fan__source_test__section_00_source_test_anomaly_0013,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0014.npy,1,source,fan__source_test__section_00_source_test_anomaly_0014,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0015.npy,1,source,fan__source_test__section_00_source_test_anomaly_0015,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0016.npy,1,source,fan__source_test__section_00_source_test_anomaly_0016,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0017.npy,1,source,fan__source_test__section_00_source_test_anomaly_0017,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0018.npy,1,source,fan__source_test__section_00_source_test_anomaly_0018,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0019.npy,1,source,fan__source_test__section_00_source_test_anomaly_0019,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0020.npy,1,source,fan__source_test__section_00_source_test_anomaly_0020,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0021.npy,1,source,fan__source_test__section_00_source_test_anomaly_0021,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0023.npy,1,source,fan__source_test__section_00_source_test_anomaly_0023,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0024.npy,1,source,fan__source_test__section_00_source_test_anomaly_0024,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0025.npy,1,source,fan__source_test__section_00_source_test_anomaly_0025,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0026.npy,1,source,fan__source_test__section_00_source_test_anomaly_0026,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0028.npy,1,source,fan__source_test__section_00_source_test_anomaly_0028,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0029.npy,1,source,fan__source_test__section_00_source_test_anomaly_0029,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0030.npy,1,source,fan__source_test__section_00_source_test_anomaly_0030,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0031.npy,1,source,fan__source_test__section_00_source_test_anomaly_0031,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0035.npy,1,source,fan__source_test__section_00_source_test_anomaly_0035,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0037.npy,1,source,fan__source_test__section_00_source_test_anomaly_0037,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0038.npy,1,source,fan__source_test__section_00_source_test_anomaly_0038,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0039.npy,1,source,fan__source_test__section_00_source_test_anomaly_0039,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0041.npy,1,source,fan__source_test__section_00_source_test_anomaly_0041,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0042.npy,1,source,fan__source_test__section_00_source_test_anomaly_0042,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0044.npy,1,source,fan__source_test__section_00_source_test_anomaly_0044,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0045.npy,1,source,fan__source_test__section_00_source_test_anomaly_0045,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0046.npy,1,source,fan__source_test__section_00_source_test_anomaly_0046,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0048.npy,1,source,fan__source_test__section_00_source_test_anomaly_0048,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0049.npy,1,source,fan__source_test__section_00_source_test_anomaly_0049,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0050.npy,1,source,fan__source_test__section_00_source_test_anomaly_0050,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0051.npy,1,source,fan__source_test__section_00_source_test_anomaly_0051,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0052.npy,1,source,fan__source_test__section_00_source_test_anomaly_0052,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0053.npy,1,source,fan__source_test__section_00_source_test_anomaly_0053,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0054.npy,1,source,fan__source_test__section_00_source_test_anomaly_0054,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0055.npy,1,source,fan__source_test__section_00_source_test_anomaly_0055,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0056.npy,1,source,fan__source_test__section_00_source_test_anomaly_0056,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0057.npy,1,source,fan__source_test__section_00_source_test_anomaly_0057,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0058.npy,1,source,fan__source_test__section_00_source_test_anomaly_0058,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0059.npy,1,source,fan__source_test__section_00_source_test_anomaly_0059,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0060.npy,1,source,fan__source_test__section_00_source_test_anomaly_0060,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0062.npy,1,source,fan__source_test__section_00_source_test_anomaly_0062,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0063.npy,1,source,fan__source_test__section_00_source_test_anomaly_0063,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0064.npy,1,source,fan__source_test__section_00_source_test_anomaly_0064,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0065.npy,1,source,fan__source_test__section_00_source_test_anomaly_0065,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0066.npy,1,source,fan__source_test__section_00_source_test_anomaly_0066,train
data/raw/mimii_due/fan_section_00/signals/source/test/fan__source_test__section_00_source_test_anomaly_0067.npy,1,source,fan__source_test__section_00_source_test_anomaly_0067,train
