epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.7592998663584392,0.46445955634117125,1.0,1.0,0.0
2,0.32269366780916847,0.3070671331137419,1.0,1.0,0.0
3,0.16974186996618906,0.20310948388651012,1.0,1.0,0.0
4,0.10606544390320778,0.11753589324653149,1.0,1.0,0.6153846153846154
5,0.07450594579180082,0.0927550345659256,1.0,1.0,0.875
6,0.05568434322873751,0.06913796430453659,1.0,1.0,0.875
7,0.04638921941320102,0.05459996722638607,1.0,1.0,0.875
8,0.035227896707753344,0.03810685090720654,1.0,1.0,0.875
9,0.03422836860020955,0.033240496553480624,1.0,1.0,0.9411764705882353
10,0.025171830567220846,0.033243079856038096,1.0,1.0,1.0
11,0.034400156078239284,0.08360204845666885,1.0,1.0,1.0
12,0.021638844845195612,0.07349413633346558,1.0,1.0,1.0
13,0.01748083032046755,0.36115272641181945,1.0,1.0,1.0
14,0.03000027295202017,0.03110590169671923,1.0,1.0,0.875
15,0.03097590754429499,0.014434285915922374,1.0,1.0,1.0
16,0.025095263837526242,0.01870371326804161,1.0,1.0,1.0
17,0.023092664685100316,0.053988254815340045,1.0,1.0,1.0
18,0.01720275990664959,0.09526350945234299,1.0,1.0,1.0
19,0.023423760648195943,0.18946030735969543,1.0,1.0,1.0
20,0.013097325588266056,0.09804619699716569,1.0,1.0,1.0
