run_name,window_size,stride,variant,source_val_roc_auc,target_test_roc_auc,source_val_pr_auc,target_test_pr_auc,source_val_f1,target_test_f1,delta_roc_auc,delta_pr_auc,train_source_num_windows,train_source_num_normal_windows,train_source_num_anomaly_windows,val_source_num_windows,val_source_num_normal_windows,val_source_num_anomaly_windows,test_target_num_windows,test_target_num_normal_windows,test_target_num_anomaly_windows,adapt_target_num_windows,adapt_target_num_normal_windows,adapt_target_num_anomaly_windows
ws_1024_st_256,1024,256,raw_only,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,258,248,10,172,162,10,172,162,10,43,43,0
ws_1024_st_256,1024,256,tfr_only,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,258,248,10,172,162,10,172,162,10,43,43,0
ws_1024_st_256,1024,256,fused,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,258,248,10,172,162,10,172,162,10,43,43,0
ws_2048_st_512,2048,512,raw_only,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,120,110,10,80,71,9,80,71,9,20,20,0
ws_2048_st_512,2048,512,tfr_only,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,120,110,10,80,71,9,80,71,9,20,20,0
ws_2048_st_512,2048,512,fused,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,120,110,10,80,71,9,80,71,9,20,20,0
ws_2048_st_256,2048,256,raw_only,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,234,216,18,156,138,18,156,138,18,39,39,0
ws_2048_st_256,2048,256,tfr_only,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,234,216,18,156,138,18,156,138,18,39,39,0
ws_2048_st_256,2048,256,fused,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,234,216,18,156,138,18,156,138,18,39,39,0
ws_4096_st_1024,4096,1024,raw_only,1.0,1.0,1.0000000000000002,1.0,0.0,0.0,0.0,2.220446049250313e-16,48,40,8,32,23,9,32,25,7,8,8,0
ws_4096_st_1024,4096,1024,tfr_only,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,48,40,8,32,23,9,32,25,7,8,8,0
ws_4096_st_1024,4096,1024,fused,1.0,1.0,1.0,1.0,0.43902439024390244,0.358974358974359,0.0,0.0,48,40,8,32,23,9,32,25,7,8,8,0
