epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.6395980676015218,0.5457541823387146,0.948051948051948,0.3206349206349206,0.0
2,0.2773410275578499,0.14244545251131058,0.948051948051948,0.3206349206349206,0.0
3,0.11838411837816239,0.13592163185821846,0.948051948051948,0.3206349206349206,0.0
4,0.08964683189988136,0.11265221746871248,1.0,1.0,0.0
5,0.06158296642825008,0.09173889644443989,1.0,1.0,0.0
6,0.05593639456977447,0.06845919659826905,1.0,1.0,0.0
7,0.034937162045389415,0.050811989028079554,1.0,1.0,0.0
8,0.03145017384861906,0.033784510858822614,1.0,1.0,0.0
9,0.024367305325965087,0.034666051343083384,1.0,1.0,1.0
10,0.021254874331255755,0.041802679002285,1.0,1.0,1.0
11,0.019964560897399983,0.03649552948772907,1.0,1.0,1.0
12,0.01589020889562865,0.03996223099529743,1.0,1.0,0.75
13,0.013002450156879302,0.05710010789334774,1.0,1.0,0.75
14,0.006292615691199899,0.09642842039465904,1.0,1.0,0.75
15,0.004181647510267794,0.05804116483777762,1.0,1.0,0.75
16,0.003561770482338034,0.07209877483546734,1.0,1.0,0.75
17,0.0014155976610103,0.3391821622848511,1.0,1.0,0.6
18,0.005023893969579755,0.10262603610725592,1.0,1.0,0.0
19,0.0013147856535700461,0.037973220646142634,1.0,1.0,0.0
20,0.0013468608357167491,0.0030113996921656396,1.0,1.0,1.0
