epoch,train_loss,source_val_loss,source_val_roc_auc,source_val_pr_auc,source_val_f1
1,0.8588287432988485,0.6571139991283417,1.0,1.0,0.0
2,0.59135901927948,0.5813115835189819,1.0,1.0,0.0
3,0.46823949615160626,0.6880290620028973,1.0,1.0,0.0
4,0.3696535925070445,1.034195572603494,1.0,1.0,0.0
5,0.3230036000410716,1.3528339887270704,1.0,1.0,0.0
6,0.2735444555679957,1.4511711196391843,1.0,1.0,0.0
7,0.21546180546283722,1.2759408284182427,1.0,1.0,0.0
8,0.17015944917996725,1.0239801969000837,1.0,1.0,0.0
9,0.1544783835609754,0.7949267952353694,1.0,1.0,0.5
10,0.12853703399499258,0.6127887377515435,1.0,1.0,0.6153846153846154
11,0.09019390245278676,0.4668830377631821,1.0,1.0,0.6153846153846154
12,0.06349890554944675,0.36353822494857013,1.0,1.0,0.6153846153846154
13,0.06711786488691966,0.28992298437515274,1.0,1.0,0.6153846153846154
14,0.04677688702940941,0.2378748309565708,1.0,1.0,0.8
15,0.038363525023063026,0.2007684139534831,1.0,1.0,0.875
16,0.042700723434487976,0.17272044392302632,1.0,1.0,0.875
17,0.03914388517538706,0.1506351347779855,1.0,1.0,0.875
18,0.015289232755700747,0.13113667885772884,1.0,1.0,0.875
19,0.018148410754899185,0.11250565201044083,1.0,1.0,0.875
20,0.012727783061563969,0.09545443835668266,1.0,1.0,0.875
